Single Toeloop,1T,"0,6","0,4","0,2","0,4","0,3","","-0,1","-0,2","-0,3"
Single Salchow,1S,"0,6","0,4","0,2","0,4","0,3","","-0,1","-0,2","-0,3"
Single Loop,1Lo,"0,6","0,4","0,2","0,5","0,4","","-0,1","-0,2","-0,3"
Single Flip,1F,"0,6","0,4","0,2","0,5","0,4","0,3","-0,1","-0,2","-0,3"
Single Lutz,1Lz,"0,6","0,4","0,2","0,6","0,5","0,4","-0,1","-0,2","-0,3"
Single Axel,1A,"0,6","0,4","0,2","1,1","0,8","","-0,2","-0,4","-0,6"
Double Toeloop,2T,"0,6","0,4","0,2","1,3","0,9","","-0,2","-0,4","-0,6"
Double Salchow,2S,"0,6","0,4","0,2","1,3","0,9","","-0,2","-0,4","-0,6"
Double Loop,2Lo,"0,9","0,6","0,3","1,8","1,3","","-0,3","-0,6","-0,9"
Double Flip,2F,"0,9","0,6","0,3","1,9","1,4","1,3","-0,3","-0,6","-0,9"
Double Lutz,2Lz,"0,9","0,6","0,3","2,1","1,5","1,4","-0,3","-0,6","-0,9"
Double Axel,2A,"1,5","1,0","0,5","3,3","2,3","","-0,5","-1,0","-1,5"
Triple Toeloop,3T,"2,1","1,4","0,7","4,3","3,0","","-0,7","-1,4","-2,1"
Triple Salchow,3S,"2,1","1,4","0,7","4,4","3,1","","-0,7","-1,4","-2,1"
Triple Loop,3Lo,"2,1","1,4","0,7","5,1","3,6","","-0,7","-1,4","-2,1"
Triple Flip,3F,"2,1","1,4","0,7","5,3","3,7","3,2","-0,7","-1,4","-2,1"
Triple Lutz,3Lz,"2,1","1,4","0,7","6,0","4,2","3,6","-0,7","-1,4","-2,1"
Triple Axel,3A,"3,0","2,0","1,0","8,5","5,9","","-1,0","-2,0","-3,0"
Quad Toeloop,4T,"3,0","2,0","1,0","10,3","8,0","","-1,2","-2,4","-4,0"
Quad Salchow,4S,"3,0","2,0","1,0","10,5","8,1","","-1,2","-2,4","-4,0"
Quad Loop,4Lo,"3,0","2,0","1,0","12,0","8,4","","-1,2","-2,4","-4,0"
Quad Flip,4F,"3,0","2,0","1,0","12,3","8,6","8,0","-1,2","-2,4","-4,0"
Quad Lutz,4Lz,"3,0","2,0","1,0","13,6","9,5","8,4","-1,2","-2,4","-4,0"
Quad Axel,4A,"3,6","2,4","1,2","15,0","10,5","","-1,2","-2,4","-4,0"
Upright  Level B,USpB,"1,5","1,0","0,5","1,0","","","-0,3","-0,6","-0,9"
Upright  Level 1,USp1,"1,5","1,0","0,5","1,2","","","-0,3","-0,6","-0,9"
Upright  Level 2,USp2,"1,5","1,0","0,5","1,5","","","-0,3","-0,6","-0,9"
Upright  Level 3,USp3,"1,5","1,0","0,5","1,9","","","-0,3","-0,6","-0,9"
Upright  Level 4,USp4,"1,5","1,0","0,5","2,4","","","-0,3","-0,6","-0,9"
Layback  Level B,LSpB,"1,5","1,0","0,5","1,2","","","-0,3","-0,6","-0,9"
Layback  Level 1,LSp1,"1,5","1,0","0,5","1,5","","","-0,3","-0,6","-0,9"
Layback  Level 2,LSp2,"1,5","1,0","0,5","1,9","","","-0,3","-0,6","-0,9"
Layback  Level 3,LSp3,"1,5","1,0","0,5","2,4","","","-0,3","-0,6","-0,9"
Layback  Level 4,LSp4,"1,5","1,0","0,5","2,7","","","-0,3","-0,6","-0,9"
Camel Level B,CSpB,"1,5","1,0","0,5","1,1","","","-0,3","-0,6","-0,9"
Camel Level 1,CSp1,"1,5","1,0","0,5","1,4","","","-0,3","-0,6","-0,9"
Camel Level 2,CSp2,"1,5","1,0","0,5","1,8","","","-0,3","-0,6","-0,9"
Camel Level 3,CSp3,"1,5","1,0","0,5","2,3","","","-0,3","-0,6","-0,9"
Camel Level 4,CSp4,"1,5","1,0","0,5","2,6","","","-0,3","-0,6","-0,9"
Sit Level B,SSpB,"1,5","1,0","0,5","1,1","","","-0,3","-0,6","-0,9"
Sit Level 1,SSp1,"1,5","1,0","0,5","1,3","","","-0,3","-0,6","-0,9"
Sit Level 2,SSp2,"1,5","1,0","0,5","1,6","","","-0,3","-0,6","-0,9"
Sit Level 3,SSp3,"1,5","1,0","0,5","2,1","","","-0,3","-0,6","-0,9"
Sit Level 4,SSp4,"1,5","1,0","0,5","2,5","","","-0,3","-0,6","-0,9"
Upright Level B,FUSpB,"1,5","1,0","0,5","1,5","1,1","","-0,3","-0,6","-0,9"
Upright Level 1,FUSp1,"1,5","1,0","0,5","1,7","1,2","","-0,3","-0,6","-0,9"
Upright Level 2,FUSp2,"1,5","1,0","0,5","2,0","1,4","","-0,3","-0,6","-0,9"
Upright Level 3,FUSp3,"1,5","1,0","0,5","2,4","1,7","","-0,3","-0,6","-0,9"
Upright Level 4,FUSp4,"1,5","1,0","0,5","2,9","2,0","","-0,3","-0,6","-0,9"
Layback Level B,FLSpB,"1,5","1,0","0,5","1,7","1,2","","-0,3","-0,6","-0,9"
Layback Level 1,FLSp1,"1,5","1,0","0,5","2,0","1,4","","-0,3","-0,6","-0,9"
Layback Level 2,FLSp2,"1,5","1,0","0,5","2,4","1,7","","-0,3","-0,6","-0,9"
Layback Level 3,FLSp3,"1,5","1,0","0,5","2,9","2,0","","-0,3","-0,6","-0,9"
Layback Level 4,FLSp4,"1,5","1,0","0,5","3,2","2,2","","-0,3","-0,6","-0,9"
Camel Level B,FCSpB,"1,5","1,0","0,5","1,6","1,1","","-0,3","-0,6","-0,9"
Camel Level 1,FCSp1,"1,5","1,0","0,5","1,9","1,3","","-0,3","-0,6","-0,9"
Camel Level 2,FCSp2,"1,5","1,0","0,5","2,3","1,6","","-0,3","-0,6","-0,9"
Camel Level 3,FCSp3,"1,5","1,0","0,5","2,8","2,0","","-0,3","-0,6","-0,9"
Camel Level 4,FCSp4,"1,5","1,0","0,5","3,2","2,2","","-0,3","-0,6","-0,9"
Sit Level B,FSSpB,"1,5","1,0","0,5","1,7","1,2","","-0,3","-0,6","-0,9"
Sit Level 1,FSSp1,"1,5","1,0","0,5","2,0","1,4","","-0,3","-0,6","-0,9"
Sit Level 2,FSSp2,"1,5","1,0","0,5","2,3","1,6","","-0,3","-0,6","-0,9"
Sit Level 3,FSSp3,"1,5","1,0","0,5","2,6","1,8","","-0,3","-0,6","-0,9"
Sit Level 4,FSSp4,"1,5","1,0","0,5","3,0","2,1","","-0,3","-0,6","-0,9"
Upright Level B,(F)CUSpB,"1,5","1,0","0,5","1,5","1,1","","-0,3","-0,6","-0,9"
Upright Level 1,(F)CUSp1,"1,5","1,0","0,5","1,7","1,2","","-0,3","-0,6","-0,9"
