clean_judge_name,judge_country
Adriana DOMANSKA,SVK
Adriana ORDEANU,ROU
Agita ABELE,LAT
Agnieszka SWIDERSKA,POL
Aigul KUANISHEVA,KAZ
Akiko KOBAYASHI,JPN
Akira  YOSHIZAWA,JPN
Akos PETHES,HUN
Albert ZAYDMAN,ISR
Alexander PENCHEV,BUL
Alexandre GOROJDANOV,BLR
Alexei BELETSKI,ISR
Alice WALDER,SUI
Alison RYAN,AUS
Allan BOEHM,SVK
Allan BÌÄåÐHM,SVK
Anastassia  MAKAROVA,UKR
Andre-Marc ALLAIN,CAN
Andrea DERBY,CAN
Andrea GMELIN,ROU
Andreas WALDECK,GER
Angelique CLYDE-SMITH,AUS
Anna KANTOR,ISR
Anne CAMMETT,USA
Anthony LEROY,FRA
Ariadna MORONES NEGRETE,MEX
Ayumi KOZUKA,JPN
Beatrice PFISTER,SUI
Beth CRANE,CAN
Bettina MEIER,SUI
Breda MARINSEK,SLO
Brigitte WENDT,GER
Catherine L. TAYLOR,AUS
Chihee RHEE,KOR
Christian BAUMANN,GER
Christiane MILES,SUI
Christiane MOERTH,AUT
Christine BLANC,SUI
Christine HURTH,FRA
Claire SHEPHERD,GBR
Claudia BRAMBATI,ITA
Csaba BALINT,HUN
Cynthia BENSON,CAN
Dagmar LURZ-PROTT,GER
Dan FANG,CHN
Daniel DELFA,ESP
Daniela TACCANI,ITA
Danuta DUBROWKO,POL
Darja GABROVSEK-POLAJNAR,SLO
David MOLINA,FRA
David MUNOZ,ESP
Deborah ISLAM,CAN
Deborah NOYES,AUS
Deveny DECK,USA
Diana BARBACCI LEVY,SUI
Ebru ANILDI,TUR
Ece ESEN,TUR
Eddy WU,TPE
Edith SCHILLER,AUT
Ekaterina SEROVA,BLR
Elena FOMINA,RUS
Elena LISOVA,UKR
Elisabeth BINDER,AUT
Elisabeth LOUESDON,FRA
Elizabeth RYAN,AUS
Elizabeth  ALEXANDRE,AUS
Elke TREITZ,GER
Emilie BILLOW,SWE
Erica SONDEREGGER,SUI
Ernestien BAKKER,NED
Etsuko AZUMA,JPN
Evgeni ROKHIN,UZB
Feng HUANG,CHN
Florence VUYLSTEKER,FRA
Francis BETSCH,FRA
Franco BENINI,ITA
Francoise DE RAPPARD,BEL
Garry HOPPE,GBR
Gloria MORANDI,ITA
Guangying QIN,CHN
Guona ZHAO,CHN
Hailan JIANG,CHN
Helene CUCUPHAT,FRA
Igor DOLGUSHIN,RUS
Igor FEDCHENKO,UKR
Igor OBRAZTSOV,RUS
Igor  PROKOP,SVK
Ingrid Charlotte WOLTER,GER
Irina KOMARNICKA,LAT
Irina MEDVEDEVA,AZE
Isabella MICHELI,ITA
Istvan SUGAR,HUN
Jana BAUDYSOVA,CZE
Janice HUNTER,CAN
Jean SENFT,CAN
Jeff LUKASIK,CAN
Jennifer MAST,USA
Jeroen PRINS,NED
Jezabel DABOUIS,FRA
Jia YAO,CHN
Jitka  MOKRA,CZE
Joanna MILLER,AUS
Jodi ABBOTT,CAN
John MILLIER,USA
Jozica PODBEVSEK,SLO
Julia ANDREEVA,RUS
Jung-Sue LEE,KOR
Kadi ZVIRIK,EST
Kaoru TAKINO,JPN
Karen BUTCHER,CAN
Karen HOWARD,CAN
Kari-Anne OLSEN,NOR
Karin EHRHARDT,AUT
Katalin BALCZO,HUN
Katarina HENRIKSSON,SWE
Kathleen HARMON,USA
Kenji AMAKO,JPN
Kersten  BELLMANN,GER
Kerstin KIMMINUS,GER
Kfir NATAN,ISR
Ko-Man TING,TPE
Kristina HOUWING,SWE
Kristina LUNDGREN,USA
Kvetoslava MATEJOVA,SVK
Laimute KRAUZIENE,LTU
Leanna CARON,CAN
Leena LAAKSONEN,FIN
Lenka BOHUNICKA,SVK
Leo LENKOLA,FIN
Leslie KEEN,CAN
Lisa JELINEK,AUS
Lise ROSTO JENSEN,NOR
Lolita LABUNSKAIYA,RUS
Lone AMSTRUP LINNEMANN,DEN
Lone VILLEFRANCE,DEN
Lorrie PARKER,USA
Ludmila MIKHAILOVSKAYA,UKR
Lynne DEY,CAN
Magdalena RUSIECKA,POL
Maira ABASOVA,RUS
Makoto KANO,JPN
Malgorzata SOBKOW,POL
Mami  MAEDA,JPN
Marco BUTTARELLI,ITA
Margaret WORSFOLD,GBR
Margo PAUW,NED
Marjo KANKAANRANTA,FIN
Mark STORTON,AUS
Marketa HORKLOVA,CZE
Marta OLOZAGARRE,ESP
Masako KUBOTA,JPN
Massimo ORLANDINI,ITA
Matjaz KRUSEC,SLO
Mayumi KATO,JPN
Melody Tan Tan YIP,HKG
