judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Ms. Chihee RHEE,KOR,Judge No.1,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Chihee RHEE
Mr. David MUNOZ,ESP,Judge No.2,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,David MUNOZ
Mr. Feng HUANG,CHN,Judge No.3,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Feng HUANG
Mr. Richard DALLEY,USA,Judge No.4,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Richard DALLEY
Mr. Walter ZUCCARO,ITA,Judge No.5,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Walter ZUCCARO
Ms. Leanna CARON,CAN,Judge No.6,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Leanna CARON
Ms. Kaoru TAKINO,JPN,Judge No.7,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Kaoru TAKINO
Ms. Christine HURTH,FRA,Judge No.8,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Christine HURTH
Ms. Elena FOMINA,RUS,Judge No.9,Free Dance|Ice Dance,4f3031488c_data0405.pdf,ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0450.htm,http://www.isuresults.com/results/season1718/gpf1718/data0405.pdf,Elena FOMINA
Mr. Walter ZUCCARO,ITA,Judge No.1,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Walter ZUCCARO
Mr. Feng HUANG,CHN,Judge No.2,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Feng HUANG
Ms. Leanna CARON,CAN,Judge No.3,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Leanna CARON
Ms. Elena FOMINA,RUS,Judge No.4,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Elena FOMINA
Mr. Richard DALLEY,USA,Judge No.5,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Richard DALLEY
Ms. Chihee RHEE,KOR,Judge No.6,Free Dance|Junior Ice Dance,af6fbba80b_data0805.pdf,JUNIOR ICE DANCE FREE DANCE,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0850.htm,http://www.isuresults.com/results/season1718/gpf1718/data0805.pdf,Chihee RHEE
